name,name_norm,mv_eur,dob,contract,sub_position,club
Kwame Karikari,kwame karikari,250000,1992-01-21,2023-05-31,Centre-Forward,PFK Stal Kamyanske (-2018)
Fabian Bredlow,fabian bredlow,800000,1995-03-02,2027-06-30,Goalkeeper,VfB Stuttgart
José Ángel Jurado,jose angel jurado,300000,1992-06-21,2024-06-30,Central Midfield,UD Almería
Sergio Rodríguez,sergio rodriguez,50000,1992-09-07,2023-06-30,Attacking Midfield,Real Betis Balompié
Jean Cleber,jean cleber,200000,1990-04-29,2023-12-31,Central Midfield,CS Marítimo
Clinton Mata,clinton mata,4000000,1992-11-07,2028-06-30,Centre-Back,Olympique Lyon
Dylan Carton,dylan carton,50000,1993-01-10,,Defensive Midfield,Lierse SK (- 2018)
Ayanda Patosi,ayanda patosi,250000,1992-10-31,,Attacking Midfield,KSC Lokeren (- 2020)
Anderson Conceição,anderson conceicao,200000,1989-10-24,2024-12-31,Centre-Back,GD Chaves
Okan Köse,okan kose,50000,1993-02-08,,Right Winger,Gençlerbirliği Spor Kulübü
Vasilios Bouzas,vasilios bouzas,100000,1993-06-30,2023-06-30,Central Midfield,Panionios Athens
Sokratis Dioudis,sokratis dioudis,250000,1993-02-03,2027-06-30,Goalkeeper,Gaziantep FK
Michalis Giannitsis,michalis giannitsis,175000,1992-02-06,2024-06-30,Centre-Back,Aris Thessalonikis
Mats Seuntjens,mats seuntjens,350000,1992-04-17,,Attacking Midfield,FC Groningen
Yassine Benzia,yassine benzia,1000000,1994-09-08,,Attacking Midfield,Al-Fayha FC
André Sousa,andre sousa,50000,1990-07-09,,Central Midfield,CD Nacional
Luís Martins,luis martins,400000,1992-06-10,2024-12-31,Left-Back,GD Chaves
Hugo Sousa,hugo sousa,250000,1992-06-04,,Centre-Back,Athlitiki Enosi Kifisias
Athanasios Kanoulas,athanasios kanoulas,125000,1992-02-19,2024-06-30,Centre-Forward,Omilos Filathlon Irakliou FC
Panagiotis Petrousis,panagiotis petrousis,150000,1992-08-11,,Centre-Back,AOK Kerkyra
Konstantinos Protogerakis,konstantinos protogerakis,50000,1992-06-19,,Defensive Midfield,GS Ergotelis
Danilo,danilo,250000,1989-02-12,,Defensive Midfield,Vitória Setúbal FC
Domine Luyckx,domine luyckx,50000,1993-07-27,,Centre-Back,Beerschot AC
Daniel Pedersen,daniel pedersen,150000,1992-07-27,2023-11-30,Defensive Midfield,Aarhus GF
Markos Dounis,markos dounis,75000,1992-05-09,2024-06-30,Right Winger,Panionios Athens
Nikolaos Skebis,nikolaos skebis,200000,1992-11-02,,Right-Back,APO Levadiakos Football Club
Manolis Tzanakakis,manolis tzanakakis,200000,1992-04-30,2023-05-31,Right-Back,Panetolikos Agrinio
Krystian Nowak,krystian nowak,125000,1994-04-01,2023-11-30,Centre-Back,Panionios Athens
Nils Rütten,nils rutten,150000,1995-07-20,,Centre-Back,Borussia Mönchengladbach
Ryan Christie,ryan christie,9000000,1995-02-22,2029-06-30,Central Midfield,AFC Bournemouth
Andrija Pavlovic,andrija pavlovic,800000,1993-11-16,2024-06-30,Centre-Forward,Bröndby IF
Sebastián Cristóforo,sebastian cristoforo,800000,1993-08-23,,Central Midfield,Club Atlético Central Córdoba
Benjamin Verbic,benjamin verbic,800000,1993-11-27,,Left Winger,APO Levadiakos Football Club
Joel Mero,joel mero,50000,1995-02-07,,Centre-Back,Borussia Mönchengladbach
Ramin Rezaeian,ramin rezaeian,450000,1990-03-21,2026-06-30,Right-Back,
Marko Bakic,marko bakic,500000,1993-11-01,2026-06-30,Central Midfield,
Luka Djordjevic,luka djordjevic,500000,1994-07-09,,Centre-Forward,FK Sochi
Luigi Canotto,luigi canotto,600000,1994-05-19,2026-06-30,Right Winger,Frosinone Calcio
Francisco Calvo,francisco calvo,700000,1992-07-08,2028-06-30,Centre-Back,Al-Ettifaq Football Club
Brayan Perea,brayan perea,400000,1993-02-25,2025-06-30,Centre-Forward,Società Sportiva Lazio S.p.A.
Thibaut Vion,thibaut vion,600000,1993-12-11,2025-06-30,Central Midfield,FC Metz
Alexandros Apostolopoulos,alexandros apostolopoulos,50000,1991-11-07,,Right-Back,PAS Giannina
Artur Anisimov,artur anisimov,250000,1992-12-31,2024-06-30,Goalkeeper,FK Nizhny Novgorod
Dmitriy Tikhiy,dmitriy tikhiy,600000,1992-10-29,2026-06-30,Centre-Back,FK Nizhny Novgorod
Patrick Twumasi,patrick twumasi,800000,1994-05-09,,Right Winger,Jeonbuk Hyundai Motors
Jurgen Mattheij,jurgen mattheij,1500000,1993-04-01,2024-06-30,Centre-Back,Sparta Rotterdam
Sérgio Marakis,sergio marakis,75000,1991-11-11,2024-06-30,Defensive Midfield,CD Nacional
André Dias,andre dias,150000,1992-04-18,2024-06-30,Left-Back,Rio Ave FC
Gonzalo Bueno,gonzalo bueno,250000,1993-01-16,2023-06-30,Left Winger,CF União Madeira (-2021)
Bruno González,bruno gonzalez,300000,1990-05-24,2023-06-30,Centre-Back,Real Valladolid CF
Alejandro Pozuelo,alejandro pozuelo,2800000,1991-09-20,,Attacking Midfield,Al-Fayha FC
Manu Trigueros,manu trigueros,1500000,1991-10-17,2026-06-30,Central Midfield,Villarreal CF
Guillermo Varela,guillermo varela,2000000,1993-03-24,2027-12-31,Right-Back,Clube de Regatas do Flamengo
Sheraldo Becker,sheraldo becker,10000000,1995-02-09,,Left Winger,CA Osasuna
Matteo Luigi Brunori,matteo luigi brunori,4700000,1994-11-01,2026-06-30,Centre-Forward,Parma Calcio 1913
Stanley Elbers,stanley elbers,25000,1992-05-14,,Right Winger,RKC Waalwijk
Shoya Nakajima,shoya nakajima,1600000,1994-08-23,2026-01-31,Attacking Midfield,Urawa Red Diamonds
Musashi Suzuki,musashi suzuki,450000,1994-02-11,,Centre-Forward,Yokohama FC
Naomichi Ueda,naomichi ueda,650000,1994-10-24,,Centre-Back,Kashima Antlers FC
Giannis Ioannou,giannis ioannou,150000,1994-05-27,,Central Midfield,PAS Giannina
Danijel Petkovic,danijel petkovic,400000,1993-05-25,2026-11-15,Goalkeeper,
Tugay Kacar,tugay kacar,150000,1994-01-01,2027-06-30,Defensive Midfield,Eyüpspor
Jay Chapman,jay chapman,250000,1994-01-01,2023-11-30,Central Midfield,Dundee FC
Michael Petrasso,michael petrasso,150000,1995-07-09,,Right Midfield,Queens Park Rangers
Bror Blume,bror blume,450000,1992-01-22,2026-06-30,Central Midfield,WSG Tirol
Lucas Tagliapietra,lucas tagliapietra,75000,1990-11-05,2023-06-30,Centre-Back,Portimonense SC
Mick van Buren,mick van buren,600000,1992-08-24,,Centre-Forward,FC Hradec Kralove
Modou Barrow,modou barrow,800000,1992-10-13,2025-06-30,Left Winger,Sivasspor
Marcel Hartel,marcel hartel,2800000,1996-01-19,2028-06-30,Central Midfield,St. Louis City Soccer Club
Fabian Gmeiner,fabian gmeiner,400000,1997-01-27,2024-06-30,Right-Back,NEC Nijmegen
Stelios Kitsiou,stelios kitsiou,550000,1993-09-28,2025-06-30,Right-Back,MKE Ankaragücü
Vasilios Papadopoulos,vasilios papadopoulos,200000,1995-01-28,2023-06-30,Centre-Forward,Panthessalonikios Athlitikos Omilos Konstantinoupoliton
Alim Öztürk,alim ozturk,450000,1992-11-17,2026-06-30,Centre-Back,Samsunspor
Stefan Mauk,stefan mauk,600000,1995-10-12,2026-06-30,Attacking Midfield,Adelaide United
Andy Polo,andy polo,800000,1994-09-29,2026-12-31,Right Winger,
Carlos Ascues,carlos ascues,350000,1992-06-19,2024-12-31,Centre-Back,VfL Wolfsburg
Gianluca Di Chiara,gianluca di chiara,250000,1993-12-26,2026-06-30,Left-Back,Parma Calcio 1913
Rodrigo Aguirre,rodrigo aguirre,4500000,1994-10-01,2029-12-31,Centre-Forward,CF América
Gaspar Iñíguez,gaspar iniguez,50000,1994-03-26,2026-12-31,Central Midfield,Club Atlético Newell’s Old Boys
Guillermo Méndez,guillermo mendez,75000,1994-08-26,2023-12-31,Attacking Midfield,Standard Liège
Maximiliano Moreira,maximiliano moreira,200000,1994-06-11,2026-06-30,Left-Back,APO Levadiakos Football Club
Lucas Ocampos,lucas ocampos,9000000,1994-07-11,2027-06-30,Left Winger,CF Monterrey
Lucas Pugh,lucas pugh,75000,1994-01-01,,Centre-Forward,CF Os Belenenses
Gastón Silva,gaston silva,1800000,1994-03-05,2023-06-30,Left-Back,SD Huesca
Jonathan Silva,jonathan silva,800000,1994-06-29,2023-06-30,Left-Back,Getafe CF
Emiliano Velázquez,emiliano velazquez,1000000,1994-04-30,2024-06-30,Centre-Back,Rayo Vallecano
Carlos Gruezo,carlos gruezo,3000000,1995-04-19,,Defensive Midfield,Santos Laguna
Cristian Ramírez,cristian ramirez,5000000,1994-08-12,2027-06-30,Left-Back,"Футбольный клуб ""Локомотив"" Москва"
David Wilson,david wilson,100000,1994-09-06,2025-05-31,Central Midfield,Partick Thistle FC
Derley,derley,250000,1987-12-29,2023-05-31,Centre-Forward,Desportivo Aves (- 2020)
Jorman Aguilar,jorman aguilar,350000,1994-09-11,,Centre-Forward,GD Estoril Praia
Roberto Chen,roberto chen,100000,1994-05-24,,Centre-Back,Málaga CF
Alfredo Stephens,alfredo stephens,350000,1994-12-25,,Centre-Forward,S-Pulse
Denys Bilous,denys bilous,100000,1991-05-10,,,Metalurg Donetsk (- 2015)
Bruninho,bruninho,100000,1993-12-16,,Left-Back,Desportivo Aves (- 2020)
Sidrit Guri,sidrit guri,150000,1993-10-23,2025-06-30,Centre-Forward,Istanbulspor
Sergey Smorodin,sergey smorodin,50000,1994-02-15,,Goalkeeper,Chornomorets Odesa
Michal Travnik,michal travnik,600000,1994-05-17,2029-06-30,Central Midfield,1.FC Slovacko
Tim Receveur,tim receveur,100000,1991-07-30,2026-06-30,Defensive Midfield,Almere City FC
Harallamb Qaqi,harallamb qaqi,150000,1993-09-17,,Centre-Back,Hellas Verona
Jannik Bandowski,jannik bandowski,100000,1994-03-30,2024-06-30,Left-Back,Borussia Dortmund
Khoren Bayramyan,khoren bayramyan,500000,1992-01-07,2027-06-30,Attacking Midfield,FK Rostov
Christian Bravo,christian bravo,325000,1993-10-01,2023-12-31,Right Winger,Granada CF
Ángelo Henríquez,angelo henriquez,400000,1994-04-13,2026-12-31,Centre-Forward,PAS Lamia 1964
Paul Nardi,paul nardi,2500000,1994-05-18,,Goalkeeper,KAA Gent
Ivan Markovic,ivan markovic,125000,1994-06-20,2023-06-15,Attacking Midfield,APO Levadiakos Football Club
Aleksandar Cavric,aleksandar cavric,1300000,1994-05-18,,Right Winger,Kashima Antlers FC
Cedric Mingiedi Mpembele,cedric mingiedi mpembele,100000,1994-12-05,,Centre-Back,KV Mechelen
Florian Raspentino,florian raspentino,200000,1989-06-06,,Centre-Forward,KAS Eupen
Simon Kroon,simon kroon,200000,1993-06-16,2024-12-31,Attacking Midfield,Sönderjyske Fodbold
Nikita Vasiljev,nikita vasiljev,150000,1992-03-22,,Defensive Midfield,FK Rostov
Dejan Trajkovski,dejan trajkovski,50000,1992-04-14,2023-06-30,Left-Back,FC Twente Enschede
Bryan Roox,bryan roox,25000,1992-11-05,,Goalkeeper,Roda JC Kerkrade
Xavier Mercier,xavier mercier,250000,1989-07-25,,Attacking Midfield,RWD Molenbeek
Arghus,arghus,50000,1988-01-19,2023-06-30,Centre-Back,Panetolikos Agrinio
Marcelo,marcelo,100000,1989-07-27,2027-06-30,Centre-Back,Moreirense FC
Vitaliy Gudiev,vitaliy gudiev,1000000,1995-04-22,2028-06-30,Goalkeeper,Akron Togliatti
Andriy Klishchuk,andriy klishchuk,250000,1992-07-03,2028-06-30,Goalkeeper,Karpaty Lviv
Victor,victor,350000,1995-01-04,2024-06-30,Attacking Midfield,Chievo Verona
Sander van de Streek,sander van de streek,1300000,1993-03-24,2027-06-30,Attacking Midfield,Antalyaspor
Predrag Rajković,predrag rajkovic,10000000,1995-10-31,2028-06-30,Goalkeeper,Al-Ittihad Football Club
Veljko Simic,veljko simic,750000,1995-02-17,2026-06-30,Left Winger,Sivasspor
Caleb Stanko,caleb stanko,350000,1993-07-26,,Defensive Midfield,PAS Lamia 1964
Tomislav Tomic,tomislav tomic,50000,1990-11-16,2025-05-31,Defensive Midfield,AO Xanthi
Patrik Carlgren,patrik carlgren,500000,1992-01-08,,Goalkeeper,FC Nantes
Maximilian Eggestein,maximilian eggestein,10000000,1996-12-08,,Central Midfield,SC Freiburg
Gerrit Holtmann,gerrit holtmann,700000,1995-03-25,2027-06-30,Left Winger,VfL Bochum
Lucas,lucas,400000,1992-07-22,2023-06-30,Centre-Back,Portimonense SC
Farès Bahlouli,fares bahlouli,300000,1995-04-08,2024-06-30,Attacking Midfield,SC Dnipro-1
Anthony Briançon,anthony briancon,400000,1994-11-29,2027-06-30,Centre-Back,AS Saint-Étienne
Ivan Knyazev,ivan knyazev,150000,1992-11-05,,Centre-Back,Ural Yekaterinburg
Lucas Mocio,lucas mocio,200000,1994-05-11,,Goalkeeper,Olympique Lyon
Corentin Tolisso,corentin tolisso,5000000,1994-08-03,2029-06-30,Central Midfield,Olympique Lyon
Alan Ruiz,alan ruiz,300000,1993-08-19,2026-12-31,Attacking Midfield,CF Estrela Amadora
Deimantas Petravicius,deimantas petravicius,150000,1995-09-02,,Right Winger,Motherwell FC
Vykintas Slivka,vykintas slivka,600000,1995-04-29,2026-01-31,Central Midfield,
Dener,dener,400000,1992-03-13,,Central Midfield,Portimonense SC
Fernando Ferreira,fernando ferreira,50000,1986-11-20,,Central Midfield,CD Tondela
Lazaros Moysiadis,lazaros moysiadis,100000,1992-07-01,,Centre-Forward,Panthessalonikios Athlitikos Omilos Konstantinoupoliton
Emre Öztürk,emre ozturk,150000,1992-08-26,2023-06-30,Left-Back,Sivasspor
Ninos Gouriye,ninos gouriye,200000,1991-01-14,,Left Winger,Vendsyssel FF
Marko Pajac,marko pajac,650000,1993-05-11,2029-06-30,Left-Back,NK Lokomotiva Zagreb
Bouna Sarr,bouna sarr,1500000,1992-01-31,2028-06-30,Right-Back,FC Metz
Joshua Smits,joshua smits,375000,1992-11-06,2027-06-30,Goalkeeper,Adelaide United
Bruno Pirri,bruno pirri,200000,1992-05-12,2023-06-30,Centre-Back,Vitória Setúbal FC
Nikolaos Katsikokeris,nikolaos katsikokeris,150000,1988-06-19,2024-06-30,Centre-Forward,Panthrakikos Komotini
Emiliano Sala,emiliano sala,16000000,1990-10-31,,Centre-Forward,FC Nantes
Baptiste Reynet,baptiste reynet,450000,1990-10-28,2024-06-30,Goalkeeper,Nîmes Olympique
Uros Djurdjevic,uros djurdjevic,3000000,1994-03-02,2028-06-30,Centre-Forward,CF Monterrey
Ognjen Gnjatic,ognjen gnjatic,100000,1991-10-16,2023-06-30,Defensive Midfield,Roda JC Kerkrade
Mats Møller Dæhli,mats mller dhli,1000000,1995-03-02,2027-12-31,Central Midfield,Molde Fotballklubb
Leon van Dijk,leon van dijk,100000,1992-03-09,,Right-Back,Heracles Almelo
Darren Maatsen,darren maatsen,300000,1991-01-30,2023-06-30,Right Winger,RKC Waalwijk
Kenan Karisik,kenan karisik,50000,1987-04-23,,Central Midfield,Akhisarspor
Huanderson,huanderson,50000,1983-08-03,,Goalkeeper,Apollon Smyrnis
Khassa Camara,khassa camara,250000,1992-10-22,2023-06-30,Defensive Midfield,AO Xanthi
Dimitri Mohamed,dimitri mohamed,50000,1989-06-11,2023-06-30,Centre-Back,Royal Excel Mouscron (-2022)
Fábio Fortes,fabio fortes,125000,1992-03-08,2024-06-30,Centre-Forward,Vitória Guimarães SC
Joey Potveer,joey potveer,50000,1993-04-01,,Goalkeeper,FC Groningen
Ángelo Sagal,angelo sagal,700000,1993-04-18,,Left Winger,Athlitiki Enosi Larisas
Brice Samba,brice samba,10000000,1994-04-25,2029-06-30,Goalkeeper,Stade Rennais FC
Benjamin Boulenger,benjamin boulenger,50000,1990-03-01,2024-06-30,Centre-Back,RFC Seraing
Scott Brown,scott brown,300000,1994-11-25,2025-05-31,Central Midfield,St. Johnstone FC
Oliver Minatel,oliver minatel,100000,1992-08-29,,Centre-Forward,CD Nacional
Amar Zildzovic,amar zildzovic,25000,1990-06-29,2024-06-30,Defensive Midfield,CS Marítimo
Sokratis Evangelou,sokratis evangelou,150000,1993-07-21,,Centre-Forward,GS Ergotelis
Héctor Bellerín,hector bellerin,4000000,1995-03-19,2028-06-30,Right-Back,Real Betis Balompié
Vinnie Vermeer,vinnie vermeer,75000,1995-07-02,,Central Midfield,NAC Breda
Bruno Chalkiadakis,bruno chalkiadakis,250000,1993-04-07,2023-06-30,Attacking Midfield,Athlitiki Enosi Larisas
Joe Gormley,joe gormley,200000,1989-11-26,2023-06-30,Centre-Forward,St. Johnstone FC
Jonas Mendes,jonas mendes,100000,1989-11-20,2024-06-30,Goalkeeper,SC Beira-Mar
Sean Maguire,sean maguire,600000,1994-05-01,2024-06-30,Centre-Forward,West Ham United
Florian Pick,florian pick,700000,1995-09-08,,Left Winger,1. Fußballclub Heidenheim 1846
Yusuf Erdoğan,yusuf erdogan,300000,1992-08-07,2027-06-30,Left Winger,Konyaspor
Khalid Karami,khalid karami,100000,1989-12-29,,Right Midfield,Sparta Rotterdam
Omar Kavak,omar kavak,25000,1988-10-24,,Left Winger,Go Ahead Eagles
Oussama Haddadi,oussama haddadi,700000,1992-01-28,2027-06-30,Centre-Back,
Dimitrios Kotsonis,dimitrios kotsonis,200000,1989-01-25,2024-06-30,Centre-Back,Aris Thessalonikis
Mahmoud Dahoud,mahmoud dahoud,2000000,1996-01-01,,Central Midfield,Eintracht Frankfurt
Burak Öğür,burak ogur,50000,1989-09-18,2025-06-30,Goalkeeper,Pendikspor
Fred,fred,7000000,1993-03-05,2027-06-30,Central Midfield,Fenerbahce
Wilmar Jordán Gil,wilmar jordan gil,300000,1990-10-17,2023-04-30,Centre-Forward,GD Chaves
Georgios Bouzoukis,georgios bouzoukis,125000,1993-07-26,,Defensive Midfield,Veria NPS
Antonis Kelaidis,antonis kelaidis,100000,1993-03-31,2024-06-30,Goalkeeper,Panetolikos Agrinio
Spyros Dimogiannis,spyros dimogiannis,150000,1992-09-03,,Right-Back,Apollon Smyrnis
Ross Millen,ross millen,250000,1994-09-28,2024-05-31,Right-Back,Kilmarnock FC
Carlos Expósito,carlos exposito,150000,1991-11-17,,Right-Back,Levante UD
Craig Watson,craig watson,150000,1995-02-13,2023-05-31,Centre-Back,Hamilton Academical FC
Tijane,tijane,100000,1991-06-28,,Left Winger,GD Estoril Praia
Salva Chamorro,salva chamorro,200000,1990-05-08,,Centre-Forward,CD Tondela
Enea Gaqollari,enea gaqollari,100000,1992-12-14,2024-06-30,Central Midfield,AO Xanthi
Dimitrios Goutas,dimitrios goutas,3000000,1994-04-04,2027-06-30,Centre-Back,Gençlerbirliği Spor Kulübü
Renato Ibarra,renato ibarra,1000000,1991-01-20,2023-12-31,Right Winger,Vitesse Arnhem
Georgios Lazaridis,georgios lazaridis,75000,1992-05-09,2023-06-30,Right Winger,AO Xanthi
Johnatan Opoku,johnatan opoku,300000,1990-04-18,2023-06-30,Attacking Midfield,VVV-Venlo
Kosmas Gezos,kosmas gezos,400000,1992-08-15,2026-06-30,Centre-Back,SK Austria Klagenfurt
Georgios Vlachos,georgios vlachos,150000,1991-08-21,,Right Winger,Panionios Athens
Giannis Anestis,giannis anestis,350000,1991-03-09,2026-06-30,Goalkeeper,FC Botosani
Alexandros Kouros,alexandros kouros,300000,1993-08-21,,Left-Back,Apollon Smyrnis
Alexandros Smyrlis,alexandros smyrlis,200000,1993-02-07,,Left Winger,Panionios Athens
Andreas Stamatis,andreas stamatis,175000,1993-05-12,2023-06-30,Centre-Forward,Aris Thessalonikis
Charlie I'Anson,charlie i'anson,200000,1993-07-01,2024-06-30,Centre-Back,Elche CF
Gary Warren,gary warren,300000,1984-08-16,2023-06-30,Centre-Back,Inverness Caledonian Thistle FC
Arkadiusz Milik,arkadiusz milik,6000000,1994-02-28,2027-06-30,Centre-Forward,Juventus FC
Rafał Kurzawa,rafa kurzawa,200000,1993-01-29,2027-06-30,Attacking Midfield,Termalica Bruk-Bet Nieciecza Klub Sportowy
Mario Jelavic,mario jelavic,50000,1993-08-20,,Centre-Forward,Royal Excel Mouscron (-2022)
Ferjani Sassi,ferjani sassi,1500000,1992-03-18,2026-06-30,Central Midfield,
Dylan De Belder,dylan de belder,350000,1992-04-03,2024-06-30,Centre-Forward,Cercle Brugge
Christos Paligeorgos,christos paligeorgos,250000,1988-06-06,2023-06-30,Right-Back,AO Platanias
Edgar Ié,edgar ie,850000,1994-05-01,,Centre-Back,Basaksehir FK
Unai López,unai lopez,2500000,1995-10-30,2029-06-30,Central Midfield,Rayo Vallecano
Christos Intzidis,christos intzidis,75000,1993-01-09,,Centre-Back,APO Levadiakos Football Club
Uche Kalu,uche kalu,50000,1986-05-16,,Centre-Forward,Caykur Rizespor
Fabian Serrarens,fabian serrarens,200000,1991-02-09,,Centre-Forward,De Graafschap Doetinchem
Scott McMann,scott mcmann,350000,1996-07-09,2024-05-31,Left-Back,Dundee United FC
Nick Pope,nick pope,7000000,1992-04-19,2027-06-30,Goalkeeper,Newcastle United
Ruca,ruca,100000,1990-09-11,2023-06-30,Left-Back,CD Tondela
Vasilios Triantafyllakos,vasilios triantafyllakos,200000,1991-07-16,2023-06-30,Central Midfield,Panthrakikos Komotini
Mohamed Dräger,mohamed drager,700000,1996-06-25,2028-06-30,Right-Back,FC Basel 1893
Jonas Föhrenbach,jonas fohrenbach,1500000,1996-01-26,2027-06-30,Left-Back,1. Fußballclub Heidenheim 1846
Arman Hovhannisyan,arman hovhannisyan,150000,1993-07-07,,Left-Back,Zirka Kropyvnytskyi
Kerem Bülbül,kerem bulbul,125000,1995-01-12,,Attacking Midfield,FC Ingolstadt 04
Tolcay Cigerci,tolcay cigerci,275000,1995-01-24,2023-06-30,Attacking Midfield,Hamburger SV
Niklas Klinger,niklas klinger,100000,1995-10-13,2026-06-30,Goalkeeper,VfL Wolfsburg
Kepa Arrizabalaga,kepa arrizabalaga,7000000,1994-10-03,2028-06-30,Goalkeeper,Arsenal FC
Mohamed Gouaida,mohamed gouaida,100000,1993-05-15,2023-06-30,Attacking Midfield,Hamburger SV
Max Christiansen,max christiansen,1200000,1996-09-25,2023-06-30,Defensive Midfield,SpVgg Greuther Fürth
John Jairo Ruiz,john jairo ruiz,150000,1994-01-10,2023-12-31,Left Winger,Dnipro Dnipropetrovsk (-2020)
Ryan Edwards,ryan edwards,500000,1993-11-17,2023-06-30,Central Midfield,Heart of Midlothian FC
Angus MacDonald,angus macdonald,300000,1992-10-15,,Centre-Back,Aberdeen FC
Gozie Ugwu,gozie ugwu,250000,1993-04-22,,Centre-Forward,Reading FC
Taxiarchis Fountas,taxiarchis fountas,2000000,1995-09-04,2029-06-30,Left Winger,Omilos Filathlon Irakliou FC
Jordan Lefort,jordan lefort,900000,1993-08-09,2029-06-30,Centre-Back,Angers SCO
Brad Donaldson,brad donaldson,50000,1994-07-02,2024-05-31,Centre-Back,Hibernian FC
Dylan Easton,dylan easton,275000,1994-04-06,2024-05-31,Attacking Midfield,St. Johnstone FC
Alex Harris,alex harris,100000,1994-08-31,2024-05-31,Left Midfield,Dundee FC
Euan Smith,euan smith,75000,1994-01-29,2023-05-31,Centre-Back,Kilmarnock FC
Sam Stanton,sam stanton,275000,1994-04-19,2024-05-31,Central Midfield,Hibernian FC
Léo Navacchio,leo navacchio,100000,1992-12-28,2023-06-30,Goalkeeper,Portimonense SC
Kevin Tapoko,kevin tapoko,250000,1994-04-13,2023-06-30,Defensive Midfield,Panionios Athens
Kofi Schulz,kofi schulz,300000,1989-07-21,2023-06-30,Left-Back,Apollon Smyrnis
Papa Demba Camara,papa demba camara,325000,1993-01-16,,Goalkeeper,FC Sochaux-Montbéliard
Seejou King,seejou king,100000,1992-04-14,,Left-Back,FC Nordsjaelland
Jackson Irvine,jackson irvine,1500000,1993-03-07,2027-06-30,Central Midfield,FC St. Pauli
Leroy Sané,leroy sane,23000000,1996-01-11,2028-06-30,Right Winger,Galatasaray
Pedro Martín,pedro martin,250000,1992-01-16,2025-06-30,Centre-Forward,Atlético de Madrid
Pedro Guedes,pedro guedes,100000,1995-01-03,,Goalkeeper,FC Paços de Ferreira
Noam Baumann,noam baumann,350000,1996-04-10,,Goalkeeper,Albirex Niigata
Joel Pereira,joel pereira,250000,1996-06-28,,Goalkeeper,RKC Waalwijk
Ulisses Garcia,ulisses garcia,3000000,1996-01-11,2028-06-30,Left-Back,Olympique Marseille
Nico Elvedi,nico elvedi,8000000,1996-09-30,2027-06-30,Centre-Back,Borussia Mönchengladbach
Anto Grgic,anto grgic,800000,1996-11-28,2027-06-30,Central Midfield,FC Lugano
Nicolas Haas,nicolas haas,700000,1996-01-23,2026-06-30,Central Midfield,FC Empoli
Kurtis Guthrie,kurtis guthrie,150000,1993-04-21,,Centre-Forward,Livingston FC
Stanislav Lobotka,stanislav lobotka,18000000,1994-11-25,2027-06-30,Defensive Midfield,SSC Napoli
Sabin Merino,sabin merino,500000,1992-01-04,2023-06-30,Centre-Forward,CD Leganés
Aleksandar Palocevic,aleksandar palocevic,900000,1993-08-22,2027-12-31,Attacking Midfield,Football Club Seoul
Farid El Alagui,farid el alagui,225000,1985-02-10,,Centre-Forward,Dundee United FC
Ben Davies,ben davies,10000000,1993-04-24,2027-06-30,Centre-Back,Tottenham Hotspur
Gwion Edwards,gwion edwards,350000,1993-03-01,,Right Winger,Ross County FC
Moussa Konaté,moussa konate,500000,1993-04-03,2023-12-31,Centre-Forward,Sivasspor
Dzon Delarge,dzon delarge,150000,1990-06-24,,Right Winger,Bursaspor
Sinan Karadag,sinan karadag,50000,1995-01-20,,Centre-Back,Kayseri Erciyesspor
William Troost-Ekong,william troost-ekong,1200000,1993-09-01,2028-06-30,Centre-Back,Al-Kholood Club
Charles-Élie Laprevotte,charles-elie laprevotte,200000,1992-10-04,,Defensive Midfield,SC Freiburg
Adi Mehremic,adi mehremic,100000,1992-04-26,2026-06-30,Centre-Back,Istanbulspor
Alan Bagaev,alan bagaev,200000,1991-04-07,2023-06-30,Centre-Back,Anzhi Makhachkala ( -2022)
Zaurbek Kambolov,zaurbek kambolov,50000,1992-03-04,,Right Midfield,Spartak Vladikavkaz (-2020)
Ruslan Bolov,ruslan bolov,175000,1994-05-07,2023-12-31,Centre-Forward,FK Krasnodar
Alikhan Shavaev,alikhan shavaev,125000,1993-01-05,2023-06-30,Central Midfield,Fakel Voronezh
Francesco Ruberto,francesco ruberto,300000,1993-03-19,2028-06-30,Goalkeeper,FC Sion
Simon Tibbling,simon tibbling,400000,1994-09-07,2024-12-31,Central Midfield,Randers FC
Rafa,rafa,50000,1992-03-01,,Goalkeeper,Rio Ave FC
Joren Dehond,joren dehond,100000,1995-08-08,2024-06-30,Attacking Midfield,Oud-Heverlee Leuven
Waldemar Anton,waldemar anton,18000000,1996-07-20,2028-06-30,Centre-Back,Borussia Dortmund
Mike-Steven Bähre,mike-steven bahre,250000,1995-08-10,2026-06-30,Central Midfield,Sportclub Rheindorf Altach
Tim Kleindienst,tim kleindienst,12000000,1995-08-31,2029-06-30,Centre-Forward,Borussia Mönchengladbach
Valmir Sulejmani,valmir sulejmani,250000,1996-02-01,2023-06-30,Centre-Forward,Hannover 96
Niklas Teichgräber,niklas teichgraber,50000,1996-02-07,2023-06-30,Left-Back,Hannover 96
Abdulwaheed Afolabi,abdulwaheed afolabi,100000,1991-11-30,,Centre-Forward,Kuban Krasnodar (-2018)
Adam Asghar,adam asghar,25000,1994-07-26,,Right-Back,Motherwell FC
Blair Currie,blair currie,25000,1993-05-25,2025-05-31,Goalkeeper,Hamilton Academical FC
Zaine Francis-Angol,zaine francis-angol,225000,1993-06-30,2023-06-30,,Motherwell FC
